105,21
105,223
105,230
223,21
223,111
223,184
21,29
21,184
230,110
21,258
258,184
184,203
184,111
184,80
184,205
258,111
205,80
80,145
80,17
80,53
80,192
145,192
192,53
53,203
142,203
201,193
201,9
9,203
166,212
166,203
166,213
145,203
201,203
203,155
155,95
155,213
166,155
213,206
213,104
213,174
213,242
174,215
215,212
215,242
242,212
203,212
206,104
95,104
95,15
104,217
104,134
104,15
15,135
15,214
15,210
104,214
214,134
134,217
217,135
135,210
135,171
135,195
135,8
135,216
171,44
171,211
211,195
211,216
211,44
211,179
171,8
211,8
195,210
195,179
210,128
15,128
128,207
128,179
29,168
184,29
29,207
179,256
179,218
256,218
207,51
207,70
207,98
207,168
207,100
207,193
168,100
168,51
110,24
24,45
45,51
51,100
51,70
70,239
70,98
70,100
70,57
70,87
70,31
70,137
70,249
70,131
57,4
57,7
57,239
100,87
100,31
31,87
4,218
70,4
218,77
4,77
256,77
77,239
239,7
7,137
7,265
137,265
265,91
265,64
182,64
182,91
64,113
64,91
64,259
64,38
64,257
64,132
64,169
91,169
91,1
91,259
91,202
91,113
1,151
77,151
259,38
259,202
38,113
202,14
14,113
14,209
209,127
209,60
209,113
77,209
240,60
240,113
14,240
20,18
20,113
113,18
113,11
60,113
60,106
127,144
144,106
169,257
169,264
257,234
70,120
257,120
264,120
249,120
249,131
120,234
120,170
131,170
170,63
63,71
71,74
71,153
71,173
153,173
153,75
153,140
173,74
153,74
234,115
234,52
234,231
234,54
132,147
18,160
18,11
18,116
160,154
75,101
75,140
140,152
101,152
152,52
52,115
52,72
52,231
52,227
52,119
116,11
154,177
154,34
154,245
154,85
25,225
25,11
11,49
11,156
11,139
139,117
13,220
13,58
220,46
220,117
177,34
177,85
85,245
245,55
245,167
245,96
245,117
245,246
11,245
117,67
117,172
96,167
117,96
67,146
67,172
67,247
247,146
247,172
270,172
270,167
270,124
270,149
146,262
262,28
262,88
28,69
28,172
69,183
183,88
88,112
88,149
112,149
149,172
149,89
89,246
89,219
219,246
204,55
204,246
55,246
246,167
246,172
246,124
172,167
245,172
103,229
11,103
103,36
229,47
229,97
11,229
58,47
46,84
46,268
147,156
156,32
156,49
156,136
156,225
156,143
143,49
36,252
36,122
36,118
36,130
122,252
122,118
118,252
97,47
47,261
47,10
47,269
47,102
11,47
269,102
102,190
102,73
102,65
73,190
190,84
190,199
190,268
190,194
199,164
84,268
268,268
32,136
130,136
150,136
136,115
136,54
257,115
115,227
115,54
227,248
227,119
119,19
119,99
19,72
227,19
19,248
99,126
126,72
19,126
72,78
72,228
72,253
72,68
72,133
72,248
72,56
68,133
68,228
133,253
133,228
228,253
54,66
66,59
66,66
59,2
59,56
59,248
248,56
248,78
78,56
56,79
56,39
56,148
56,2
148,79
2,181
2,273
2,260
260,273
273,79
273,181
65,138
65,197
197,237
138,48
50,164
50,194
164,194
194,94
194,261
48,237
48,261
48,10
108,237
108,261
108,107
108,43
94,261
10,261
261,178
261,43
261,250
261,93
261,16
16,250
16,178
16,93
93,181
79,39
181,6
181,114
261,181
114,189
189,62
62,39
27,236
6,236
6,107
236,267
236,266
236,107
267,266
266,222
266,5
222,243
222,198
43,107
107,129
107,125
107,272
107,191
272,125
178,161
178,76
178,251
178,5
178,191
5,191
129,191
251,76
186,76
251,186
76,162
76,161
162,263
162,161
161,157
161,22
161,263
161,37
157,22
22,37
163,198
163,39
39,243
39,198
200,243
200,3
185,263
185,235
185,3
263,235
157,3
3,232
3,221
3,254
221,254
254,41
165,35
165,235
235,109
109,158
109,187
159,158
159,187
158,35
187,92
187,30
30,232
30,92
30,271
92,271
271,232
171,216
223,52
234,156
207,179
153,70
147,120
156,245
71,52
64,11
64,160
223,244
53,238
213,238
91,8
52,120
71,120
82,11
46,11
196,227
196,72
196,2
212,128
264,128
54,261
179,169
132,169
156,261
135,70
213,70
113,149
161,149
149,261
257,147
116,147
70,223
135,145
64,128
234,147
52,59
161,135
161,212
52,140
230,29
179,4
226,64
54,130
241,170
169,174
169,120
23,120
23,90
120,90
10,128
179,10
171,10
11,10
81,61
203,61
81,203
12,203
12,255
141,255
141,26
213,26
179,175
123,175
123,40
121,40
121,86
224,86
224,42
180,42
180,176
179,176
151,137
64,137
151,208
113,208
153,24
184,230
33,24
207,213
207,135
179,64
207,52
207,188
83,233
153,233
